[2026-04-08T18:02:36.389Z] GET http://localhost:3000/_next/static/chunks/_a0ff3932._.js → 200 (12ms, 691B)
[2026-04-08T18:02:36.389Z] GET http://localhost:3000/_next/static/chunks/turbopack-_cdba956c._.js → 200 (15ms, 73295B)
[2026-04-08T18:02:36.389Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_8db7fb1f._.js → 200 (15ms, 141426B)
[2026-04-08T18:02:36.389Z] GET http://localhost:3000/_next/static/chunks/src_app_favicon_ico_mjs_243aa161._.js → 200 (13ms, 262B)
[2026-04-08T18:02:36.389Z] GET http://localhost:3000/_next/static/chunks/node_modules_f3e1f61d._.js → 200 (28ms, 520550B)
[2026-04-08T18:02:36.389Z] GET http://localhost:3000/_next/static/chunks/src_8a2ebb03._.js → 200 (20ms, 44219B)
[2026-04-08T18:02:36.389Z] GET http://localhost:3000/_next/static/chunks/src_app_layout_tsx_0a548d63._.js → 200 (16ms, 324B)
[2026-04-08T18:02:36.389Z] GET http://localhost:3000/_next/static/chunks/node_modules_63c72ca9._.js → 200 (40ms, 916571B)
[2026-04-08T18:02:36.389Z] GET http://localhost:3000/_next/static/chunks/src_3530cc54._.js → 200 (28ms, 51127B)
[2026-04-08T18:02:36.389Z] GET http://localhost:3000/_next/static/chunks/src_app_login_page_tsx_69b3214e._.js → 200 (28ms, 289B)
[2026-04-08T18:02:36.389Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_69b3214e.js → 200 (28ms, 206B)
[2026-04-08T18:02:36.395Z] GET http://localhost:3000/noise.svg → 200 (6ms, 235B)
[2026-04-08T18:02:36.481Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js → 200 (3ms, 16539B)
[2026-04-08T18:02:36.481Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_285433b7._.js → 200 (3ms, 288B)
[2026-04-08T18:03:27.227Z] GET http://localhost:3000/register → pending (?ms, ?B)
[2026-04-08T18:03:27.474Z] GET http://localhost:3000/_next/static/media/GeistMono_Variable.p.2f937313.woff2 → 200 (?ms, ?B)
[2026-04-08T18:03:27.475Z] GET http://localhost:3000/_next/static/media/Geist_Variable-s.p.92592eb2.woff2 → 200 (?ms, ?B)
[2026-04-08T18:03:27.475Z] GET http://localhost:3000/_next/static/chunks/_0d88947a._.css → 200 (3ms, 97436B)
[2026-04-08T18:03:27.475Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_57d40746._.js → 200 (3ms, 671B)
[2026-04-08T18:03:27.475Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_1e674e59._.js → 200 (30ms, 898423B)
[2026-04-08T18:03:27.475Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_a9cb0712.js → 200 (41ms, 1503709B)
[2026-04-08T18:03:27.475Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_5150ccfd._.js → 200 (14ms, 265322B)
[2026-04-08T18:03:27.475Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_cf1d9188._.js → 200 (22ms, 498550B)
[2026-04-08T18:03:27.475Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_b0daae9a._.js → 200 (13ms, 170773B)
[2026-04-08T18:03:27.475Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_b3dc30d6._.js → 200 (8ms, 3229B)
[2026-04-08T18:03:27.475Z] GET http://localhost:3000/_next/static/chunks/_a0ff3932._.js → 200 (13ms, 691B)
[2026-04-08T18:03:27.475Z] GET http://localhost:3000/_next/static/chunks/turbopack-_cdba956c._.js → 200 (18ms, 73295B)
[2026-04-08T18:03:27.475Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_8db7fb1f._.js → 200 (18ms, 141426B)
[2026-04-08T18:03:27.475Z] GET http://localhost:3000/_next/static/chunks/src_app_favicon_ico_mjs_243aa161._.js → 200 (18ms, 262B)
[2026-04-08T18:03:27.475Z] GET http://localhost:3000/_next/static/chunks/node_modules_f3e1f61d._.js → 200 (30ms, 520550B)
[2026-04-08T18:03:27.475Z] GET http://localhost:3000/_next/static/chunks/src_8a2ebb03._.js → 200 (22ms, 44219B)
[2026-04-08T18:03:27.476Z] GET http://localhost:3000/_next/static/chunks/src_app_layout_tsx_0a548d63._.js → 200 (20ms, 324B)
[2026-04-08T18:03:27.476Z] GET http://localhost:3000/_next/static/chunks/node_modules_64d60a07._.js → 200 (40ms, 922819B)
[2026-04-08T18:03:27.476Z] GET http://localhost:3000/_next/static/chunks/src_ab815d91._.js → 200 (21ms, 62015B)
[2026-04-08T18:03:27.476Z] GET http://localhost:3000/_next/static/chunks/src_app_register_page_tsx_69b3214e._.js → 200 (21ms, 289B)
[2026-04-08T18:03:27.476Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_69b3214e.js → 200 (29ms, 206B)
[2026-04-08T18:03:27.481Z] GET http://localhost:3000/noise.svg → 304 (11ms, ?B)
[2026-04-08T18:03:27.569Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js → 200 (3ms, 16539B)
[2026-04-08T18:03:27.569Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_285433b7._.js → 200 (2ms, 288B)
[2026-04-08T18:04:27.362Z] GET http://localhost:3000/_next/static/chunks/_0d88947a._.css → 200 (3ms, 97439B)
[2026-04-08T18:04:36.559Z] GET http://localhost:3000/_next/static/chunks/_0d88947a._.css → 200 (2ms, 97951B)
[2026-04-08T18:04:42.957Z] GET http://localhost:3000/_next/static/chunks/_0d88947a._.css → 200 (3ms, 98439B)
[2026-04-08T18:04:49.123Z] GET http://localhost:3000/_next/static/chunks/_0d88947a._.css → 200 (7ms, 98951B)
[2026-04-08T18:05:20.239Z] GET http://localhost:3000/_next/static/chunks/_0d88947a._.css → 200 (8ms, 99495B)
